mising data? see here!,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Open Field/Arean Habitation ,,,,,,,,,,,,,,,
Tag Number,Genotype,Sex,Birthdate,Test Date,Time In,Treatment type,Bucket type (old/new),Notes,Notes cont.,File Location on Drive ,,,,,
981,KO,F,05/30/2023,09/07/2023,11,9,19,14,16,12,,,,,
981,KO,F,05/30/2023,,21,15,22,16,29,20,,ONE NON-RECORDED RUN,,,
985,HET,M,05/30/2023,07/19/2023,22,16,19,14,13,10,,,,,
985,HET,M,05/30/2023,8/17/23,12,9,12,9,13,10,,,,,
985,HET,M,05/30/2023,09/14/2023,1,2,22,16,29,20,,REDUCED MOTER FUNCTION IN BACK LEGS ,,,
990,WT,F,5/28/23,07/19/2023,17,13,12,10,14,11,,possibly tagged as het,,,
990,WT,F,5/28/23,8/17/23,24,17,19,14,25,18,,,,,
990,WT,F,5/28/23,,16,12,23,17,23,17,,,,,
990,WT,F,5/28/23,,20,14,23,17,27,19,,,,,
995,HET,M,05/30/2023,07/19/2023,24,17,26,18,24,17,,,,,
995,HET,M,05/30/2023,8/17/23,16,12,24,17,22,16,,,,,
995,HET,M,05/30/2023,09/14/2023,38,26,8,7,28,20,,,,,
995,HET,M,05/30/2023,,26,19,26,18,30,21,,,,,
689,KO,M,06/09/2023,07/26/2023,14,11,7,6,18,13,,,,,
690,WT,F,06/08/2023,07/26/2023,25,18,30,21,19,14,,,,,
691,WT,F,06/08/2023,07/26/2023,7,6,4,5,6,6,,??????,,,
692,WT,M,06/09/2023,07/26/2023,5,5,23,16,20,15,,,,,
698,WT,F,06/08/2023,07/26/2023,5,5,5,5,4,4,,,,,
159,WT,F,10/16/2023,11/22/2023,9,7,5,5,19,14,,,,,
161,WT,M,10/16/2023,11/22/2023,0,2,28,20,22,16,,,,,
159,WT,F,10/16/2023,12/20/2023,4,5,19,14,9,8,,,,,
161,WT,M,10/16/2023,12/20/2023,18,13,15,12,16,12,,,,,
161,,,,01/19/2023,20,14,18,13,29,20,,,,,
159,,,,01/19/2023,7,6,12,9,12,10,,,,,
161,wt,m,10/16/2023,02/16/2024,29,21,28,20,25,18,,,,,
159,wt,f,10/16/2023,02/16/2024,10,8,9,8,10,8,,,,,
214,KO,m,01/03/2024,02/23/2024,16,27,3,12,19,4,,,,,
215,WT,m,01/03/2024,02/23/2024,17,19,14,13,14,11,,,,,
217,KO,m,01/03/2024,02/23/2024,2,1,10,3,3,8,,,,,
218,WT,m,01/03/2024,02/23/2024,20,23,16,14,16,12,,,,,
214,KO,m,01/03/2024,,10,8,34,23,42,29,,214 stayed on for a long time!,,,
215,WT,m,01/03/2024,,15,12,12,10,15,,,,,,
217,KO,m,01/03/2024,,16,12,23,16,26,18,,,,,
218,WT,m,01/03/2024,,19,14,18,13,20,14,,,,,
165,HET,F,10/31/2023,04/05/2024,15,11,11,9,17,13,,MOUSE WINNER (AVG) RESULTS: TIME (14.3) SPEED (11) ,,,
166,WT,F,10/31/2023,04/05/2024,5,5,9,8,27,19,,MOUSE LOSER (AVG) RESULTS: TIME (13.6) SPEED (10.6) ,,,
179,WT,M,11/07/2023,04/12/2024,11,9,2,3,7,6,,,,,
181,WT,M,11/07/2023,04/12/2024,11,9,10,9,21,15,,,,,
189,HET,M,11/07/2023,04/12/2024,4,5,3,4,3,4,,,,,
187,WT,M,11/07/2023,04/12/2024,1,3,16,12,9,8,,,,,
218,wt,M,01/03/2024,04/19/2024,15,12,11,9,16,12,,turned around and stayed that way for the whole run.,,,
215,wt,M,01/03/2024,04/19/2024,16,12,19,14,9,8,,,,,
214,ko,M,01/03/2024,04/19/2024,35,24,42,29,7,7,,,,,
217,ko,M,01/03/2024,04/19/2024,6,6,28,20,8,7,,,,,
165,HET,F,10/30/2023,05/01/2024,19,14,24,17,24,17,,,,,
166,WT,F,10/30/2023,05/01/2014,16,12,20,15,17,13,,,,,
187,WT,M,11/9/2023,05/10/2024,3,4,10,8,6,6,,,,,
189,HET,M,11/9/2023,05/10/2024,3,4,24,14,11,9,,,,,
179,WT,M,11/7/2023,05/10/2024,9,8,2,3,2,3,,,,,
181,WT,M,11/7/2023,05/10/2024,19,14,12,10,17,13,,,,,
215,WT,M,01/03/2024,05/17/2024,19,14,7,6,9,8,,,,,
217,WT,M,01/03/2024,05/17/2024,13,10,15,11,16,12,,,,,
218,KO,M,01/03/2024,05/17/2024,12,10,18,14,25,18,,,,,
165,HET,F,10/30/2024,05/31/2024,25,18,13,10,18,14,,,,,
166,WT,F,10/30/2024,05/31/2024,23,17,26,19,30,21,,,,,
187,WT,M,11/9/2023,06/07/2024,13,10,16,12,10,8,,,,,
189,HET,M,11/9/2023,06/07/2024,2,4,17,13,32,22,,,,,
179,WT,M,11/7/2023,06/07/2024,4,4,10,8,10,8,,,,,
181,WT,M,11/7/2023,06/07/2024,16,12,21,15,7,7,,,,,
297,KO,M,04/23/2024,06/07/2024,10,8,23,16,27,19,,,,,
165,HET,F,10/30/2024,06/28/2024,26,19,23,17,31,22,,,,,
166,WT,F,10/30/2024,06/28/2024,29,20,22,16,31,21,,,,,
179,WT,M,11/07/2023,07/03/2024,5,5,12,9,10,8,,,,,
181,WT,M,11/07/2023,07/03/2024,12,10,17,13,21,15,,,,,
189,HET,M,11/07/2023,07/03/2024,2,3,5,5,7,6,,wonder  if this is a ko he looked/performed awful ,,,
187,WT,M,11/07/2023,07/03/2024,14,11,4,5,14,11,,,,,
297,KO,M,4/23/2024,07/12/2024,25,18,40,27,34,24,,Held on and went 360 deg around the rotarod!! (in run #2),,,
331,KO,F,06/12/2024,07/24/2024,28,20,7,7,12,9,,"first attempt took a second for stage to fall, ~1.5-2 sec",,,
333,KO,F,06/12/2024,07/24/2024,14,11,9,8,12,10,,,,,
355,KO,M,06/13/2024,07/26/2024,20,14,22,16,13,10,,,,,
369,KO,M,06/12/2024,07/26/2024,18,13,20,15,9,8,,turned around on round 3,,,
337,HET,M,06/12/2024,07/26/2024,17,13,22,16,16,12,,,,,
358,KO,M,06/13/2024,07/26/2024,18,14,19,14,9,8,,,,,
357,KO,M,06/13/2024,07/26/2024,16,12,27,19,23,17,,,,,
297,KO,M,04/23/2024,08/02/2024,37,25,41,28,33,23,,held on for a full 360 deg. near end of round 1 & 2 (once each),,,
333,KO,F,06/12/2024,08/20/2024,9,8,20,15,21,16,,,,,
331,KO,F,06/12/2024,08/20/2024,22,16,25,18,21,15,,,,,
369,KO,M,06/12/2024,08/23/2024,10,8,29,20,26,18,,,,,
337,HET,M,06/12/2024,08/23/2024,27,19,6,6,23,16,,,,,
358,KO,M,06/13/2024,08/23/2024,16,12,20,15,18,14,,,,,
357,KO,M,06/13/2024,08/23/2024,23,17,25,18,35,24,,,,,
355,KO,M,06/13/2024,08/23/2024,16,12,14,11,19,14,,turned around and faced the wrong way AND rode on for a full 360degrees,,,
297,KO,M,4/23/24,08/28/2024,39,27,55,37,36,25,,,,,
331,,,,09/18/2024,26,19,25,18,27,19,,,,,
333,,,,09/18/2024,22,16,19,14,28,20,,,,,
333,KO,F,06/12/2024,10/16/2024,32,22,33,23,34,24,,,,,
331,KO,F,06/12/2024,10/16/2024,40,27,44,30,35,24,,,,,
444,HET,M,11/04/2024,12/18/24,3,4,23,17,16,12,,,,,
445,KO,F,11/04/2024,12/18/2024,43,29,25,18,38,26,,,,,
444,HET,M,11/04/2024,01/15/2024,9,8,15,11,23,17,,,,,
445,KO,F,11/04/2024,01/15/2024,35,24,25,18,31,22,,,,,
444,HET,M,11/04/2024,03/19/2025,25,18,11,9,16,12,,,,,
